series,date,raw,capped
de/basketball,2021-05-08,9494.0,3305.0
de/basketball,2022-09-13,5187.0,1337.5
de/basketball,2022-09-14,1557.0,1345.0
de/basketball,2022-09-16,10593.0,1392.5
de/basketball,2022-09-17,1559.0,1427.5
de/basketball,2022-09-18,3153.0,1437.5
de/basketball,2023-09-08,5905.0,1357.5
de/basketball,2023-09-09,2430.0,1387.5
de/basketball,2023-09-10,26698.0,1410.0
de/basketball,2023-09-11,4065.0,1415.0
de/basketball,2023-09-12,2014.0,1427.5
de/basketball,2024-07-27,3365.0,1885.0
de/basketball,2024-07-30,3450.0,1925.0
de/basketball,2024-08-02,2543.0,1925.0
de/basketball,2024-08-05,2160.0,1962.5
de/basketball,2024-08-06,2881.0,1962.5
de/basketball,2024-08-08,4033.0,1962.5
de/basketball,2024-08-10,2773.0,1962.5
de/basketball,2024-08-11,2558.0,1992.5
de/basketball,2025-09-03,1530.0,932.5
de/basketball,2025-09-06,1087.0,960.0
de/basketball,2025-09-10,3278.0,995.0
de/basketball,2025-09-11,1136.0,1012.5
de/basketball,2025-09-12,4025.0,1020.0
de/basketball,2025-09-14,8812.0,1035.0
de/basketball,2025-09-15,2793.0,1045.0
de/nba,2019-04-10,3202.0,2887.5
de/nba,2019-06-14,4550.0,3117.5
de/nba,2019-12-26,10129.0,2477.5
de/nba,2020-01-27,5799.0,2652.5
de/nba,2020-01-28,4995.0,2677.5
de/nba,2020-10-12,3507.0,2920.0
de/nba,2022-06-17,3175.0,2857.5
de/nba,2023-09-08,1700.0,1395.0
de/nba,2023-09-10,5306.0,1395.0
de/nba,2023-09-11,2873.0,1395.0
de/nba,2023-09-12,1544.0,1395.0
de/nba,2024-06-18,2360.0,1862.5
de/nba,2024-08-10,1322.0,1150.0
de/nba,2025-09-12,865.0,755.0
de/nba,2025-09-14,2042.0,770.0
de/nba,2025-09-15,1667.0,777.5
de/nba,2026-06-14,1520.0,1307.5
en/basketball,2019-06-14,25713.0,23607.5
en/basketball,2020-08-06,47146.0,14065.0
en/basketball,2024-05-06,28983.0,25162.5
en/nba,2019-06-14,68935.0,36907.5
en/nba,2020-01-27,36826.0,28125.0
en/nba,2020-01-28,32668.0,28395.0
en/nba,2020-10-12,39099.0,37420.0
en/nba,2020-10-14,48852.0,37602.5
en/nba,2026-06-14,38392.0,36167.5
es/nba,2019-06-14,14971.0,6895.0
es/nba,2020-01-27,7324.0,5912.5
es/nba,2020-10-12,17033.0,12105.0
es/nba,2021-07-21,8273.0,7810.0
es/nba,2022-06-17,18062.0,10972.5
es/nba,2022-10-19,7142.0,4117.5
es/nba,2022-10-20,4708.0,4180.0
es/nba,2022-10-21,4987.0,4267.5
es/nba,2022-10-22,5101.0,4390.0
es/nba,2022-10-23,4622.0,4555.0
es/nba,2023-02-09,9865.0,9372.5
es/nba,2023-05-14,11243.0,10510.0
es/nba,2024-04-30,7561.0,5105.0
es/nba,2024-06-18,11631.0,7205.0
